hood,total_facilities,high_utility_facilities,medium_utility_facilities,low_utility_facilities,sqmiles,facilities_per_sq_mi,utility_per_sq_mi,facilities_score
Bedford Dwellings,6.0,1.0,5.0,0.0,0.1756743,34.15411360682809,74.00057948146086,100.0
Morningside,10.0,4.0,2.0,3.0,0.37460783,26.69458350616964,50.719708661722315,74.31
Highland Park,30.0,12.0,1.0,11.0,1.16986009,25.64409219225523,41.88535058068354,67.69
Allegheny Center,4.0,3.0,1.0,0.0,0.20893682,19.144543312184037,52.6474941085061,62.09
Homewood West,6.0,0.0,0.0,2.0,0.19520326,30.737191581738955,10.245730527246318,59.54
Regent Square,4.0,1.0,2.0,0.0,0.1962188,20.385406495198218,35.67446136659688,55.1
Strip District,15.0,0.0,0.0,8.0,0.60818856,24.663403731237562,13.1538153233267,50.44
Elliott,11.0,4.0,3.0,1.0,0.60589038,18.155099277199287,31.35880784243513,48.84
Polish Hill,4.0,3.0,0.0,1.0,0.25616424,15.61498201310222,39.03745503275555,48.53
Beltzhoover,7.0,3.0,1.0,2.0,0.41539974,16.851238279542496,31.295156804864632,46.52
Perry North,20.0,9.0,4.0,3.0,1.20991298,16.530114421947932,31.40721740170107,46.02
Lower Lawrenceville,7.0,0.0,5.0,1.0,0.42994414,16.281184806937944,25.584718982331054,42.43
South Side Slopes,11.0,3.0,3.0,4.0,0.72306013,15.213119274049863,26.2772060188134,40.93
Allegheny West,3.0,0.0,0.0,1.0,0.1447943,20.719047642068784,6.906349214022928,40.13
Brighton Heights,14.0,5.0,7.0,1.0,1.11702235,12.533321289408399,26.85711704873228,36.54
Oakwood,3.0,1.0,2.0,0.0,0.25238278,11.886706375133835,27.735648208645618,35.87
Squirrel Hill South,29.0,15.0,4.0,4.0,2.67660534,10.83461934660864,21.29563112954112,30.54
Crawford-Roberts,3.0,1.0,0.0,1.0,0.25134182,11.935936486813059,15.914581982417412,29.57
Knoxville,4.0,0.0,0.0,2.0,0.29962465,13.350036453943293,6.6750182269716465,27.06
Manchester,3.0,1.0,0.0,1.0,0.27904856,10.750816990419159,14.334422653892211,26.63
West End,2.0,1.0,0.0,0.0,0.19456581,10.279298300148417,15.418947450222626,26.39
Brookline,19.0,6.0,10.0,1.0,2.08892976,9.095566717379716,18.66984747251626,26.07
Spring Hill-City View,6.0,1.0,3.0,1.0,0.63621632,9.430754621321253,15.717924368868754,25.06
Allentown,3.0,1.0,0.0,0.0,0.29699827,10.101068938886412,10.101068938886412,23.2
Terrace Village,3.0,0.0,1.0,2.0,0.32464368,9.240900669928335,12.32120089323778,22.89
Hazelwood,14.0,5.0,3.0,1.0,1.6052427,8.721422623507337,13.705092694082957,22.73
Garfield,4.0,1.0,1.0,1.0,0.45738457,8.745375909816984,13.118063864725476,22.45
Sheraden,7.0,3.0,2.0,1.0,0.88763301,7.886142044221632,15.772284088443264,22.38
Bloomfield,6.0,1.0,2.0,2.0,0.70193062,8.547853347671314,12.821780021506969,21.95
Point Breeze,8.0,3.0,0.0,4.0,1.00339225,7.972953747649535,12.956049839930495,21.01
Homewood South,3.0,1.0,1.0,0.0,0.38714814,7.748971750193609,12.914952916989348,20.59
Windgap,3.0,1.0,1.0,1.0,0.41693436,7.195377229163842,14.390754458327685,20.42
Shadyside,7.0,3.0,1.0,1.0,0.92016097,7.60736461143315,13.041196476742543,20.41
Carrick,12.0,1.0,9.0,1.0,1.6695299,7.187652045045734,13.177362082583846,19.75
Mount Washington,7.0,6.0,0.0,0.0,1.13253078,6.1808474644724445,15.893607765786287,19.45
Central Business District,7.0,0.0,0.0,0.0,0.64563198,10.842089947279254,0.0,19.05
Upper Hill,2.0,1.0,0.0,0.0,0.31318888,6.3859227696717715,9.578884154507657,16.4
Bluff,3.0,0.0,0.0,0.0,0.32526123,9.223355639404057,0.0,16.2
Lincoln Place,5.0,3.0,2.0,0.0,0.98153251,5.094074774965936,13.244594414911433,16.11
South Side Flats,5.0,3.0,1.0,0.0,0.9243167,5.409401344798812,11.900682958557386,15.94
Westwood,4.0,2.0,0.0,1.0,0.69044344,5.793378238194283,10.138411916839994,15.66
Banksville,5.0,2.0,3.0,0.0,0.97761942,5.114464686063622,12.274715246552692,15.62
Greenfield,4.0,2.0,0.0,1.0,0.77443557,5.165052013300474,9.038841023275829,13.96
North Oakland,3.0,0.0,0.0,3.0,0.49700201,6.036192891855709,6.036192891855709,13.87
Troy Hill,3.0,0.0,1.0,0.0,0.46091418,6.508803873206938,4.3392025821379585,13.78
Fineview,1.0,1.0,0.0,0.0,0.24848933,4.024317663861059,12.072952991583179,13.6
Lincoln-Lemington-Belmar,11.0,2.0,1.0,1.0,1.81810116,6.050268402006849,4.950219601641968,13.3
South Oakland,2.0,1.0,0.0,1.0,0.48395839,4.132586687876204,8.265173375752408,11.73
Point Breeze North,1.0,1.0,0.0,0.0,0.30192069,3.3121280956267025,9.936384286880108,11.19
Beechview,6.0,1.0,3.0,1.0,1.45920135,4.11183830113644,6.8530638352274,10.93
East Liberty,3.0,0.0,0.0,2.0,0.58137897,5.160145369551293,3.440096913034195,10.92
Bon Air,1.0,1.0,0.0,0.0,0.31483044,3.1763129384820603,9.528938815446182,10.73
Chateau,2.0,0.0,0.0,1.0,0.38251231,5.228589898191773,2.6142949490958864,10.6
East Hills,2.0,1.0,0.0,1.0,0.5405573,3.6998852850567365,7.399770570113473,10.5
Central Lawrenceville,3.0,2.0,1.0,0.0,0.96011221,3.1246347757623036,8.332359402032811,9.99
Squirrel Hill North,4.0,2.0,0.0,0.0,1.22340867,3.2695534191367144,4.904330128705071,8.39
California-Kirkbride,1.0,0.0,0.0,0.0,0.21689151,4.610600018414736,0.0,8.1
Overbrook,2.0,2.0,0.0,0.0,0.83649724,2.3909224135634926,7.172767240690477,8.08
Homewood North,1.0,1.0,0.0,0.0,0.4325542,2.3118490122162725,6.935547036648818,7.81
Larimer,1.0,1.0,0.0,0.0,0.44518392,2.2462626233220644,6.738787869966193,7.59
West Oakland,1.0,0.0,0.0,0.0,0.23352997,4.282105632951522,0.0,7.52
East Allegheny,1.0,0.0,0.0,0.0,0.23491555,4.256848897401641,0.0,7.48
Glen Hazel,1.0,1.0,0.0,0.0,0.45746307,2.1859688039954785,6.557906411986436,7.38
Central Northside,1.0,0.0,0.0,0.0,0.2596781,3.8509215832987067,0.0,6.77
Duquesne Heights,2.0,0.0,0.0,1.0,0.61955559,3.2281203370306124,1.6140601685153062,6.54
Central Oakland,1.0,0.0,0.0,0.0,0.28004652,3.5708353026490025,0.0,6.27
Middle Hill,1.0,0.0,0.0,0.0,0.3051406,3.2771777993488906,0.0,5.76
Upper Lawrenceville,1.0,0.0,0.0,1.0,0.40389265,2.475905416946805,2.475905416946805,5.69
Marshall-Shadeland,3.0,0.0,1.0,0.0,1.25407261,2.39220598239523,1.5948039882634868,5.06
Perry South,2.0,0.0,0.0,1.0,0.90634615,2.206662432449236,1.103331216224618,4.47
Crafton Heights,1.0,0.0,1.0,0.0,0.75131668,1.330996671070846,2.661993342141692,3.78
Swisshelm Park,1.0,0.0,0.0,0.0,0.47358963,2.111532720849483,0.0,3.71
Fairywood,1.0,1.0,0.0,0.0,0.96959084,1.0313628787994737,3.0940886363984217,3.48
Hays,2.0,1.0,0.0,0.0,1.74509782,1.146067559697026,1.719101339545539,2.94
Stanton Heights,1.0,0.0,0.0,0.0,0.73818889,1.3546668251807474,0.0,2.38
New Homestead,0.0,0.0,0.0,0.0,0.78997174,0.0,0.0,0.0
North Shore,0.0,0.0,0.0,0.0,0.29702305,0.0,0.0,0.0
East Carnegie,0.0,0.0,0.0,0.0,0.43345506,0.0,0.0,0.0
Ridgemont,0.0,0.0,0.0,0.0,0.3576487,0.0,0.0,0.0
Northview Heights,0.0,0.0,0.0,0.0,0.31379713,0.0,0.0,0.0
Spring Garden,0.0,0.0,0.0,0.0,0.26710302,0.0,0.0,0.0
Friendship,0.0,0.0,0.0,0.0,0.10619141,0.0,0.0,0.0
Arlington Heights,0.0,0.0,0.0,0.0,0.12723371,0.0,0.0,0.0
South Shore,0.0,0.0,0.0,0.0,0.23074356,0.0,0.0,0.0
Summer Hill,0.0,0.0,0.0,0.0,0.44189436,0.0,0.0,0.0
Mt. Oliver,0.0,0.0,0.0,0.0,0.10329752,0.0,0.0,0.0
Arlington,0.0,0.0,0.0,0.0,0.47997549,0.0,0.0,0.0
Esplen,0.0,0.0,0.0,0.0,0.23111759,0.0,0.0,0.0
Chartiers City,0.0,0.0,0.0,0.0,0.13401531,0.0,0.0,0.0
St. Clair,0.0,0.0,0.0,0.0,0.31105594,0.0,0.0,0.0
